# Mappings file for Silverlight to Jupiter UI stacks.
# Note on DependencyObject & DependencyProperty:
#    Silverlight's System.Windows.dll contains DependencyObject and DependencyProperty.
#    Windows.UI.DirectUI.winmd contains DependencyObject, DependencyProperty, and interfaces for both.

System.Windows.CornerRadius,Windows.UI.DirectUI.ICornerRadius
System.Windows.DataTemplate,Windows.UI.DirectUI.IDataTemplate
System.Windows.DependencyProperty,Windows.UI.DirectUI.IDependencyProperty
System.Windows.Duration,Windows.UI.DirectUI.IDuration
System.Windows.GridLength,Windows.UI.DirectUI.IGridLength
System.Windows.ResourceDictionary,Windows.UI.DirectUI.IResourceDictionary
System.Windows.RoutedEventArgs,Windows.UI.DirectUI.IRoutedEventArgs
System.Windows.SizeChangedEventArgs,Windows.UI.DirectUI.ISizeChangedEventArgs
System.Windows.SizeChangedEventHandler,Windows.UI.DirectUI.SizeChangedEventHandler
System.Windows.Style,Windows.UI.DirectUI.IStyle
System.Windows.Thickness,Windows.UI.DirectUI.IThickness
System.Windows.UIElement,Windows.UI.DirectUI.IUIElement

# Good mappings from one type to another, but different namespaces than the others.
System.Windows.Point,Windows.Foundation.Point
System.Windows.Rect,Windows.Foundation.Rect
System.Windows.Size,Windows.Foundation.Size
System.TimeSpan,Windows.Foundation.TimeSpan

System.Windows.Controls.ItemsControl,Windows.UI.DirectUI.Controls.IItemsControl
System.Windows.Controls.ScrollViewer,Windows.UI.DirectUI.Controls.IScrollViewer
System.Windows.Controls.SelectionChangedEventArgs,Windows.UI.DirectUI.Controls.ISelectionChangedEventArgs

System.Windows.Controls.Primitives.DragCompletedEventArgs,Windows.UI.DirectUI.Controls.Primitives.IDragCompletedEventArgs
System.Windows.Controls.Primitives.DragStartedEventArgs,Windows.UI.DirectUI.Controls.Primitives.IDragStartedEventArgs
System.Windows.Controls.Primitives.DragDeltaEventArgs,Windows.UI.DirectUI.Controls.Primitives.IDragDeltaEventArgs
System.Windows.Controls.Primitives.ScrollEventArgs,Windows.UI.DirectUI.Controls.Primitives.IScrollEventArgs

System.Windows.Data.BindingBase,Windows.UI.DirectUI.Data.IBinding
System.Windows.Data.BindingOperations,Windows.UI.DirectUI.Data.BindingOperations
System.Windows.Data.RelativeSource,Windows.UI.DirectUI.Data.IRelativeSource

# Collections
System.Windows.SetterBaseCollection,Windows.Foundation.Collections.IVector<Windows.UI.DirectUI.ISetterBase>
